count-ll	count-ll-pred-err	p2p-ll	total-ll	link-lambda-avg	link-lambda-stddev	link-lambda-min	link-lambda-max	plan-lambda-avg	plan-lambda-stddev	plan-lambda-min	plan-lambda-max	replan-count
-408312.4654019553	801703.1470739768	--	-408312.4654019553	--	--	--	--	--	--	--	--	0
-449171.87934914563	225817.2001815943	--	-449171.87934914563	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	65244
-478201.45740754704	3952362.096175271	--	-478201.45740754704	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	67898
-519447.1071595545	466715.5952009828	--	-519447.1071595545	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	68281
-553989.4102769763	339616.3269383222	--	-553989.4102769763	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	68348
-545486.7406190613	270182.6858978737	--	-545486.7406190613	-8.530769824886452E-5	0.11476652956159183	-14.697520181394866	7.332302122013681	-0.03308186264121981	3.181657257181955	-15.0	15.0	68349
-510903.22477284225	275188.04694044514	--	-510903.22477284225	-0.0013403588457523749	0.1162499155224509	-11.93416075559486	7.170117178772844	-0.501925075915766	3.4404370288535144	-15.0	15.0	68505
-583547.4556255143	244532.74415876606	--	-583547.4556255143	-0.0021521484240668246	0.11083366719697903	-8.900228232842913	4.923096852018925	-0.8088515262667434	3.255188980982582	-15.0	15.0	68226
-524818.3980112015	207373.17130784824	--	-524818.3980112015	-0.0035534632304632116	0.11907925373441908	-9.153813540437518	3.954007486770548	-1.383582940980286	3.6982752599954707	-15.0	15.0	68283
-486664.10695392435	243396.9414163409	--	-486664.10695392435	-0.0036891607977401837	0.11672551636737086	-9.56936023131887	3.603068421361322	-1.3794073053167626	3.6962225071938457	-15.0	15.0	68085
-530241.5964999798	230844.59073032264	--	-530241.5964999798	-0.004293479194494102	0.12175177020327523	-14.742515193076418	3.328675866766022	-1.6063098727227316	3.7739409520013543	-15.0	15.0	68189
-512092.1955261036	215022.87645031788	--	-512092.1955261036	-0.00489509334929859	0.12133334319372824	-9.3790068214081	3.620363819299459	-1.8220459957928115	3.856217934280544	-15.0	15.0	67953
-536621.1942214122	248935.09326908653	--	-536621.1942214122	-0.0052705719083758025	0.12155495397854066	-9.482755066554883	3.261215582911678	-1.9382806341668242	3.9033106139261715	-15.0	15.0	67884
-487539.82269599737	201301.39351068184	--	-487539.82269599737	-0.005895635642874269	0.12519362148366084	-9.274569272920752	3.2284438440000662	-2.182134416413261	3.9869475046857414	-15.0	13.510401723093574	68128
-559631.2738390764	244403.09431650297	--	-559631.2738390764	-0.005679311683325388	0.12030833600362588	-9.477125652162327	3.470725116301848	-2.116815063722059	3.900574846494323	-15.0	12.083238584968429	67743
-529690.3747047212	235917.4044486729	--	-529690.3747047212	-0.0064578553221858745	0.1263451946110222	-8.611263587231905	2.9579367543019073	-2.406282202157988	4.070357633076459	-15.0	11.3119290699797	68296
-523192.17540359095	220678.37330055083	--	-523192.17540359095	-0.006861327722104187	0.13261739590056898	-7.789840532716083	2.989327527775643	-2.5554084401105084	4.2515130616018615	-15.0	12.336597376365871	67738
-463636.63702525065	190043.860809046	--	-463636.63702525065	-0.006995039448049405	0.1290524322559506	-7.255090813232265	4.003377651426337	-2.570271595314576	4.199085696196861	-15.0	14.489590863460268	68184
-469409.22260156035	196359.75046305818	--	-469409.22260156035	-0.006746369380498699	0.13225686092687858	-7.4523158694920255	6.734281283434136	-2.4318053085366063	4.160839972570212	-15.0	12.601050320339297	67755
