iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
74;22:27:55;22:27:55;22:27:55;22:27:55;22:30:25;22:30:25;;;22:30:25;22:30:25;22:30:29;22:30:29;22:33:25;22:33:25;22:33:25;22:33:25;22:33:25;22:33:25;;;22:33:29;22:33:29;;00:00:00;00:02:29;;00:00:00;00:00:04;00:02:55;00:00:00;00:00:00;;00:00:03;00:05:33
75;22:33:29;22:33:29;22:33:29;22:33:29;22:35:56;22:35:56;;;22:35:57;22:35:57;22:36:02;22:36:02;22:39:00;22:39:00;22:39:00;22:39:00;22:39:00;22:39:00;;;22:39:03;22:39:03;;00:00:00;00:02:27;;00:00:00;00:00:04;00:02:58;00:00:00;00:00:00;;00:00:03;00:05:34
76;22:39:03;22:39:03;22:39:04;22:39:04;22:41:34;22:41:34;;;22:41:34;22:41:34;22:41:39;22:41:39;22:44:37;22:44:37;22:44:37;22:44:37;22:44:37;22:44:37;;;22:44:40;22:44:40;;00:00:00;00:02:29;;00:00:00;00:00:04;00:02:57;00:00:00;00:00:00;;00:00:03;00:05:36
77;22:44:40;22:44:40;22:44:41;22:44:41;22:47:04;22:47:04;;;22:47:05;22:47:05;22:47:09;22:47:09;22:50:07;22:50:07;22:50:07;22:50:07;22:50:08;22:50:08;;;22:50:11;22:50:11;;00:00:00;00:02:23;;00:00:00;00:00:04;00:02:57;00:00:00;00:00:00;;00:00:02;00:05:30
78;22:50:11;22:50:11;22:50:11;22:50:11;22:52:36;22:52:36;;;22:52:36;22:52:36;22:52:41;22:52:41;22:55:44;22:55:44;22:55:44;22:55:44;22:55:44;22:55:44;;;22:55:48;22:55:48;;00:00:00;00:02:24;;00:00:00;00:00:04;00:03:03;00:00:00;00:00:00;;00:00:03;00:05:36
79;22:55:48;22:55:48;22:55:48;22:55:48;22:58:15;22:58:15;;;22:58:16;22:58:16;22:58:20;22:58:20;23:01:22;23:01:22;23:01:22;23:01:22;23:01:23;23:01:23;;;23:01:26;23:01:26;;00:00:00;00:02:27;;00:00:00;00:00:04;00:03:01;00:00:00;00:00:00;;00:00:03;00:05:38
80;23:01:26;23:01:26;23:01:26;23:01:26;23:03:53;23:03:53;23:03:53;23:05:10;23:05:11;23:05:11;23:05:15;23:05:15;23:10:33;23:10:33;23:10:33;23:10:33;23:10:33;23:10:33;23:10:33;23:10:33;23:10:36;23:10:36;;00:00:00;00:02:26;00:01:17;00:01:18;00:00:04;00:05:17;00:00:00;00:00:00;00:00:00;00:00:03;00:09:10
81;23:10:36;23:10:36;23:10:37;23:10:37;23:13:12;23:13:12;;;23:13:13;23:13:13;23:13:17;23:13:17;23:16:20;23:16:20;23:16:20;23:16:20;23:16:21;23:16:21;;;23:16:24;23:16:24;;00:00:00;00:02:35;;00:00:00;00:00:04;00:03:03;00:00:00;00:00:00;;00:00:03;00:05:47
82;23:16:24;23:16:24;23:16:24;23:16:24;23:18:54;23:18:54;;;23:18:55;23:18:55;23:18:59;23:18:59;23:22:01;23:22:01;23:22:02;23:22:02;23:22:02;23:22:02;;;23:22:05;23:22:05;;00:00:00;00:02:29;;00:00:00;00:00:04;00:03:02;00:00:00;00:00:00;;00:00:03;00:05:41
83;23:22:05;23:22:05;23:22:06;23:22:06;23:24:38;23:24:38;;;23:24:38;23:24:38;23:24:43;23:24:43;23:27:45;23:27:45;23:27:45;23:27:45;23:27:45;23:27:45;;;23:27:48;23:27:48;;00:00:00;00:02:31;;00:00:00;00:00:04;00:03:01;00:00:00;00:00:00;;00:00:03;00:05:42
84;23:27:48;23:27:48;23:27:49;23:27:49;23:30:16;23:30:16;;;23:30:17;23:30:17;23:30:21;23:30:21;23:33:22;23:33:22;23:33:22;23:33:22;23:33:23;23:33:23;;;23:33:26;23:33:26;;00:00:00;00:02:27;;00:00:00;00:00:04;00:03:01;00:00:00;00:00:00;;00:00:02;00:05:37
85;23:33:26;23:33:26;23:33:26;23:33:26;23:35:54;23:35:54;;;23:35:54;23:35:54;23:35:59;23:35:59;23:38:58;23:38:58;23:38:58;23:38:58;23:38:58;23:38:58;;;23:39:01;23:39:01;;00:00:00;00:02:27;;00:00:00;00:00:04;00:02:59;00:00:00;00:00:00;;00:00:03;00:05:35
86;23:39:02;23:39:02;23:39:02;23:39:02;23:41:27;23:41:27;;;23:41:27;23:41:27;23:41:32;23:41:32;23:44:37;23:44:37;23:44:37;23:44:37;23:44:37;23:44:37;;;23:44:40;23:44:40;;00:00:00;00:02:24;;00:00:00;00:00:04;00:03:05;00:00:00;00:00:00;;00:00:03;00:05:38
87;23:44:40;23:44:40;23:44:41;23:44:41;23:47:04;23:47:04;;;23:47:05;23:47:05;23:47:10;23:47:10;23:50:06;23:50:06;23:50:06;23:50:06;23:50:07;23:50:07;;;23:50:10;23:50:10;;00:00:00;00:02:23;;00:00:00;00:00:04;00:02:56;00:00:00;00:00:00;;00:00:03;00:05:29
88;23:50:10;23:50:10;23:50:10;23:50:10;23:52:33;23:52:33;;;23:52:33;23:52:33;23:52:38;23:52:38;23:55:35;23:55:35;23:55:35;23:55:35;23:55:35;23:55:35;;;23:55:38;23:55:38;;00:00:00;00:02:22;;00:00:00;00:00:04;00:02:56;00:00:00;00:00:00;;00:00:02;00:05:28
89;23:55:38;23:55:38;23:55:39;23:55:39;23:58:03;23:58:03;;;23:58:03;23:58:03;23:58:08;23:58:08;00:01:07;00:01:07;00:01:07;00:01:07;00:01:08;00:01:08;;;00:01:11;00:01:11;;00:00:00;00:02:24;;00:00:00;00:00:04;00:02:59;00:00:00;00:00:00;;00:00:02;00:05:32
90;00:01:11;00:01:11;00:01:11;00:01:11;00:03:36;00:03:36;00:03:36;00:04:54;00:04:54;00:04:54;00:04:58;00:04:58;00:10:16;00:10:16;00:10:16;00:10:16;00:10:16;00:10:16;00:10:16;00:10:16;00:10:19;00:10:19;;00:00:00;00:02:24;00:01:17;00:01:18;00:00:04;00:05:17;00:00:00;00:00:00;00:00:00;00:00:03;00:09:08
91;00:10:19;00:10:19;00:10:20;00:10:20;00:12:45;00:12:45;;;00:12:46;00:12:46;00:12:50;00:12:50;00:15:52;00:15:52;00:15:52;00:15:52;00:15:53;00:15:53;;;00:15:56;00:15:56;;00:00:00;00:02:25;;00:00:00;00:00:04;00:03:01;00:00:00;00:00:00;;00:00:03;00:05:36
92;00:15:56;00:15:56;00:15:56;00:15:56;00:18:25;00:18:25;;;00:18:26;00:18:26;00:18:30;00:18:30;00:21:35;00:21:35;00:21:35;00:21:35;00:21:35;00:21:35;;;00:21:38;00:21:38;;00:00:00;00:02:29;;00:00:00;00:00:04;00:03:04;00:00:00;00:00:00;;00:00:03;00:05:42
93;00:21:38;00:21:38;00:21:39;00:21:39;00:24:19;00:24:19;;;00:24:19;00:24:19;00:24:23;00:24:23;00:27:25;00:27:25;00:27:26;00:27:26;00:27:26;00:27:26;;;00:27:29;00:27:29;;00:00:00;00:02:39;;00:00:00;00:00:04;00:03:02;00:00:00;00:00:00;;00:00:03;00:05:50
94;00:27:29;00:27:29;00:27:29;00:27:29;00:30:05;00:30:05;;;00:30:05;00:30:05;00:30:10;00:30:10;00:33:13;00:33:13;00:33:13;00:33:13;00:33:14;00:33:14;;;00:33:17;00:33:17;;00:00:00;00:02:35;;00:00:00;00:00:04;00:03:03;00:00:00;00:00:00;;00:00:03;00:05:47
95;00:33:17;00:33:17;00:33:17;00:33:17;00:35:44;00:35:44;;;00:35:45;00:35:45;00:35:49;00:35:49;00:38:52;00:38:52;00:38:52;00:38:52;00:38:52;00:38:52;;;00:38:55;00:38:55;;00:00:00;00:02:26;;00:00:00;00:00:04;00:03:02;00:00:00;00:00:00;;00:00:03;00:05:38
96;00:38:55;00:38:55;00:38:55;00:38:55;00:41:13;00:41:13;;;00:41:13;00:41:13;00:41:18;00:41:18;00:44:17;00:44:17;00:44:17;00:44:17;00:44:18;00:44:18;;;00:44:21;00:44:21;;00:00:00;00:02:17;;00:00:00;00:00:04;00:02:59;00:00:00;00:00:00;;00:00:03;00:05:25
97;00:44:21;00:44:21;00:44:21;00:44:21;00:46:51;00:46:51;;;00:46:52;00:46:52;00:46:57;00:46:57;00:49:58;00:49:58;00:49:59;00:49:59;00:49:59;00:49:59;;;00:50:02;00:50:02;;00:00:00;00:02:29;;00:00:00;00:00:04;00:03:01;00:00:00;00:00:00;;00:00:03;00:05:41
98;00:50:02;00:50:02;00:50:03;00:50:03;00:52:32;00:52:32;;;00:52:33;00:52:33;00:52:37;00:52:37;00:55:40;00:55:40;00:55:40;00:55:40;00:55:41;00:55:41;;;00:55:44;00:55:44;;00:00:00;00:02:29;;00:00:00;00:00:04;00:03:03;00:00:00;00:00:00;;00:00:03;00:05:41
99;00:55:44;00:55:44;00:55:44;00:55:44;00:58:19;00:58:19;;;00:58:20;00:58:20;00:58:24;00:58:24;01:01:34;01:01:34;01:01:34;01:01:34;01:01:35;01:01:35;;;01:01:38;01:01:38;;00:00:00;00:02:34;;00:00:00;00:00:04;00:03:09;00:00:00;00:00:00;;00:00:03;00:05:54
100;01:01:38;01:01:38;01:01:38;01:01:38;01:04:02;01:04:02;01:04:02;01:05:19;01:05:19;01:05:19;01:05:24;01:05:24;01:10:42;01:10:42;01:10:42;01:10:42;01:10:42;01:10:42;01:10:42;01:10:42;01:11:13;01:11:13;;00:00:00;00:02:23;00:01:17;00:01:17;00:00:04;00:05:17;00:00:00;00:00:00;00:00:00;00:00:31;00:09:35
101;01:11:13;01:11:13;01:11:14;01:11:14;01:13:38;01:13:38;;;01:13:38;01:13:38;01:13:43;01:13:43;01:16:44;01:16:44;01:16:44;01:16:44;01:16:44;01:16:44;;;01:16:47;01:16:47;;00:00:00;00:02:23;;00:00:00;00:00:04;00:03:01;00:00:00;00:00:00;;00:00:02;00:05:33
102;01:16:47;01:16:47;01:16:48;01:16:48;01:19:13;01:19:13;;;01:19:13;01:19:13;01:19:18;01:19:18;01:22:23;01:22:23;01:22:23;01:22:23;01:22:24;01:22:24;;;01:22:27;01:22:27;;00:00:00;00:02:25;;00:00:00;00:00:04;00:03:05;00:00:00;00:00:00;;00:00:03;00:05:39
103;01:22:27;01:22:27;01:22:27;01:22:27;01:24:56;01:24:56;;;01:24:57;01:24:57;01:25:01;01:25:01;01:28:07;01:28:07;01:28:07;01:28:07;01:28:07;01:28:07;;;01:28:10;01:28:10;;00:00:00;00:02:28;;00:00:00;00:00:04;00:03:05;00:00:00;00:00:00;;00:00:03;00:05:43
104;01:28:11;01:28:11;01:28:11;01:28:11;01:30:34;01:30:34;;;01:30:34;01:30:34;01:30:39;01:30:39;01:33:48;01:33:48;01:33:49;01:33:49;01:33:49;01:33:49;;;01:33:52;01:33:52;;00:00:00;00:02:23;;00:00:00;00:00:04;00:03:09;00:00:00;00:00:00;;00:00:03;00:05:41
105;01:33:52;01:33:52;01:33:52;01:33:52;01:36:17;01:36:17;;;01:36:18;01:36:18;01:36:22;01:36:22;01:39:28;01:39:28;01:39:28;01:39:28;01:39:29;01:39:29;;;01:39:32;01:39:32;;00:00:00;00:02:24;;00:00:00;00:00:04;00:03:06;00:00:00;00:00:00;;00:00:03;00:05:39
106;01:39:32;01:39:32;01:39:32;01:39:32;01:41:56;01:41:56;;;01:41:56;01:41:56;01:42:01;01:42:01;01:45:03;01:45:03;01:45:03;01:45:03;01:45:03;01:45:03;;;01:45:06;01:45:06;;00:00:00;00:02:23;;00:00:00;00:00:04;00:03:01;00:00:00;00:00:00;;00:00:02;00:05:34
107;01:45:06;01:45:06;01:45:06;01:45:06;01:47:47;01:47:47;;;01:47:48;01:47:48;01:47:52;01:47:52;01:50:59;01:50:59;01:50:59;01:50:59;01:51:00;01:51:00;;;01:51:03;01:51:03;;00:00:00;00:02:40;;00:00:00;00:00:04;00:03:07;00:00:00;00:00:00;;00:00:03;00:05:56
108;01:51:03;01:51:03;01:51:03;01:51:03;01:53:37;01:53:37;;;01:53:37;01:53:37;01:53:42;01:53:42;01:56:46;01:56:46;01:56:46;01:56:46;01:56:46;01:56:46;;;01:56:50;01:56:50;;00:00:00;00:02:33;;00:00:00;00:00:04;00:03:04;00:00:00;00:00:00;;00:00:03;00:05:46
109;01:56:50;01:56:50;01:56:50;01:56:50;01:59:10;01:59:10;;;01:59:10;01:59:10;01:59:15;01:59:15;02:02:15;02:02:15;02:02:15;02:02:15;02:02:16;02:02:16;;;02:02:19;02:02:19;;00:00:00;00:02:20;;00:00:00;00:00:04;00:03:00;00:00:00;00:00:00;;00:00:03;00:05:29
110;02:02:19;02:02:19;02:02:19;02:02:19;02:04:45;02:04:45;02:04:45;02:06:02;02:06:03;02:06:03;02:06:07;02:06:07;02:11:29;02:11:29;02:11:29;02:11:29;02:11:29;02:11:29;02:11:29;02:11:29;02:11:32;02:11:32;;00:00:00;00:02:25;00:01:17;00:01:17;00:00:04;00:05:21;00:00:00;00:00:00;00:00:00;00:00:03;00:09:13
111;02:11:32;02:11:32;02:11:32;02:11:32;02:14:00;02:14:00;;;02:14:01;02:14:01;02:14:05;02:14:05;02:17:11;02:17:11;02:17:11;02:17:11;02:17:12;02:17:12;;;02:17:15;02:17:15;;00:00:00;00:02:27;;00:00:00;00:00:04;00:03:05;00:00:00;00:00:00;;00:00:03;00:05:42
112;02:17:15;02:17:15;02:17:15;02:17:15;02:19:43;02:19:43;;;02:19:43;02:19:43;02:19:48;02:19:48;02:22:53;02:22:53;02:22:53;02:22:53;02:22:54;02:22:54;;;02:22:57;02:22:57;;00:00:00;00:02:27;;00:00:00;00:00:05;00:03:04;00:00:00;00:00:00;;00:00:03;00:05:42
113;02:22:57;02:22:57;02:22:57;02:22:57;02:25:27;02:25:27;;;02:25:27;02:25:27;02:25:32;02:25:32;02:28:31;02:28:31;02:28:31;02:28:31;02:28:31;02:28:31;;;02:28:34;02:28:34;;00:00:00;00:02:29;;00:00:00;00:00:04;00:02:59;00:00:00;00:00:00;;00:00:03;00:05:37
114;02:28:34;02:28:34;02:28:35;02:28:35;02:30:58;02:30:58;;;02:30:58;02:30:58;02:31:03;02:31:03;02:34:03;02:34:03;02:34:03;02:34:03;02:34:04;02:34:04;;;02:34:07;02:34:07;;00:00:00;00:02:23;;00:00:00;00:00:04;00:03:00;00:00:00;00:00:00;;00:00:03;00:05:32
115;02:34:07;02:34:07;02:34:07;02:34:07;02:36:38;02:36:38;;;02:36:38;02:36:38;02:36:43;02:36:43;02:39:44;02:39:44;02:39:44;02:39:44;02:39:44;02:39:44;;;02:39:47;02:39:47;;00:00:00;00:02:30;;00:00:00;00:00:04;00:03:00;00:00:00;00:00:00;;00:00:02;00:05:40
116;02:39:47;02:39:47;02:39:47;02:39:47;02:42:14;02:42:14;;;02:42:15;02:42:15;02:42:19;02:42:19;02:45:23;02:45:23;02:45:23;02:45:23;02:45:24;02:45:24;;;02:45:27;02:45:27;;00:00:00;00:02:26;;00:00:00;00:00:04;00:03:04;00:00:00;00:00:00;;00:00:03;00:05:39
117;02:45:27;02:45:27;02:45:27;02:45:27;02:47:43;02:47:43;;;02:47:43;02:47:43;02:47:48;02:47:48;02:50:51;02:50:51;02:50:51;02:50:51;02:50:52;02:50:52;;;02:50:55;02:50:55;;00:00:00;00:02:15;;00:00:00;00:00:04;00:03:03;00:00:00;00:00:00;;00:00:03;00:05:28
118;02:50:55;02:50:55;02:50:55;02:50:55;02:53:16;02:53:16;;;02:53:17;02:53:17;02:53:21;02:53:21;02:56:26;02:56:26;02:56:26;02:56:26;02:56:26;02:56:26;;;02:56:29;02:56:29;;00:00:00;00:02:21;;00:00:00;00:00:04;00:03:04;00:00:00;00:00:00;;00:00:03;00:05:34
119;02:56:29;02:56:29;02:56:29;02:56:29;02:59:17;02:59:17;;;02:59:17;02:59:17;02:59:22;02:59:22;03:02:28;03:02:28;03:02:28;03:02:28;03:02:28;03:02:28;;;03:02:32;03:02:32;;00:00:00;00:02:47;;00:00:00;00:00:04;00:03:05;00:00:00;00:00:00;;00:00:03;00:06:02
120;03:02:32;03:02:32;03:02:32;03:02:32;03:05:01;03:05:01;03:05:01;03:06:18;03:06:18;03:06:18;03:06:22;03:06:22;03:11:45;03:11:45;03:11:45;03:11:45;03:11:46;03:11:46;03:11:46;03:11:46;03:11:49;03:11:49;;00:00:00;00:02:29;00:01:16;00:01:16;00:00:04;00:05:22;00:00:00;00:00:00;00:00:00;00:00:03;00:09:17
121;03:11:49;03:11:49;03:11:49;03:11:49;03:14:17;03:14:17;;;03:14:18;03:14:18;03:14:22;03:14:22;03:17:30;03:17:30;03:17:30;03:17:30;03:17:30;03:17:30;;;03:17:33;03:17:33;;00:00:00;00:02:28;;00:00:00;00:00:04;00:03:07;00:00:00;00:00:00;;00:00:02;00:05:44
122;03:17:33;03:17:33;03:17:34;03:17:34;03:19:50;03:19:50;;;03:19:51;03:19:51;03:19:55;03:19:55;03:23:03;03:23:03;03:23:03;03:23:03;03:23:03;03:23:03;;;03:23:06;03:23:06;;00:00:00;00:02:16;;00:00:00;00:00:04;00:03:07;00:00:00;00:00:00;;00:00:03;00:05:33
123;03:23:06;03:23:06;03:23:07;03:23:07;03:25:37;03:25:37;;;03:25:38;03:25:38;03:25:42;03:25:42;03:28:51;03:28:51;03:28:51;03:28:51;03:28:52;03:28:52;;;03:28:55;03:28:55;;00:00:00;00:02:30;;00:00:00;00:00:04;00:03:08;00:00:00;00:00:00;;00:00:02;00:05:48
124;03:28:55;03:28:55;03:28:55;03:28:55;03:31:13;03:31:13;;;03:31:14;03:31:14;03:31:18;03:31:18;03:34:27;03:34:27;03:34:27;03:34:27;03:34:27;03:34:27;;;03:34:31;03:34:31;;00:00:00;00:02:18;;00:00:00;00:00:04;00:03:09;00:00:00;00:00:00;;00:00:03;00:05:35
125;03:34:31;03:34:31;03:34:31;03:34:31;03:36:51;03:36:51;;;03:36:52;03:36:52;03:36:56;03:36:56;03:39:58;03:39:58;03:39:58;03:39:58;03:39:58;03:39:58;;;03:40:01;03:40:01;;00:00:00;00:02:20;;00:00:00;00:00:04;00:03:01;00:00:00;00:00:00;;00:00:02;00:05:30
126;03:40:01;03:40:01;03:40:02;03:40:02;03:42:27;03:42:27;;;03:42:28;03:42:28;03:42:32;03:42:32;03:45:32;03:45:32;03:45:32;03:45:32;03:45:33;03:45:33;;;03:45:36;03:45:36;;00:00:00;00:02:25;;00:00:00;00:00:04;00:02:59;00:00:00;00:00:00;;00:00:03;00:05:34
127;03:45:36;03:45:36;03:45:36;03:45:36;03:47:56;03:47:56;;;03:47:57;03:47:57;03:48:02;03:48:02;03:50:56;03:50:56;03:50:56;03:50:56;03:50:57;03:50:57;;;03:50:59;03:50:59;;00:00:00;00:02:20;;00:00:00;00:00:04;00:02:54;00:00:00;00:00:00;;00:00:02;00:05:23
128;03:51:00;03:51:00;03:51:00;03:51:00;03:53:30;03:53:30;;;03:53:30;03:53:30;03:53:35;03:53:35;03:56:40;03:56:40;03:56:40;03:56:40;03:56:40;03:56:40;;;03:56:43;03:56:43;;00:00:00;00:02:29;;00:00:00;00:00:04;00:03:05;00:00:00;00:00:00;;00:00:03;00:05:43
129;03:56:43;03:56:43;03:56:44;03:56:44;03:59:20;03:59:20;;;03:59:20;03:59:20;03:59:25;03:59:25;04:02:31;04:02:31;04:02:31;04:02:31;04:02:32;04:02:32;;;04:02:35;04:02:35;;00:00:00;00:02:36;;00:00:00;00:00:04;00:03:06;00:00:00;00:00:00;;00:00:03;00:05:51
130;04:02:35;04:02:35;04:02:35;04:02:35;04:05:04;04:05:04;04:05:04;04:06:22;04:06:23;04:06:23;04:06:27;04:06:27;04:11:54;04:11:54;04:11:54;04:11:54;04:11:54;04:11:54;04:11:54;04:11:54;04:11:58;04:11:58;;00:00:00;00:02:29;00:01:17;00:01:18;00:00:04;00:05:27;00:00:00;00:00:00;00:00:00;00:00:03;00:09:23
131;04:11:58;04:11:58;04:11:58;04:11:58;04:14:28;04:14:28;;;04:14:29;04:14:29;04:14:33;04:14:33;04:17:40;04:17:40;04:17:40;04:17:40;04:17:40;04:17:40;;;04:17:43;04:17:43;;00:00:00;00:02:30;;00:00:00;00:00:04;00:03:06;00:00:00;00:00:00;;00:00:02;00:05:45
132;04:17:43;04:17:43;04:17:44;04:17:44;04:20:08;04:20:08;;;04:20:08;04:20:08;04:20:13;04:20:13;04:23:22;04:23:22;04:23:22;04:23:22;04:23:23;04:23:23;;;04:23:26;04:23:26;;00:00:00;00:02:24;;00:00:00;00:00:04;00:03:09;00:00:00;00:00:00;;00:00:03;00:05:42
133;04:23:26;04:23:26;04:23:26;04:23:26;04:25:50;04:25:50;;;04:25:50;04:25:50;04:25:55;04:25:55;04:28:56;04:28:56;04:28:56;04:28:56;04:28:56;04:28:56;;;04:29:00;04:29:00;;00:00:00;00:02:23;;00:00:00;00:00:04;00:03:01;00:00:00;00:00:00;;00:00:03;00:05:34
134;04:29:00;04:29:00;04:29:00;04:29:00;04:31:23;04:31:23;;;04:31:23;04:31:23;04:31:28;04:31:28;04:34:34;04:34:34;04:34:34;04:34:34;04:34:34;04:34:34;;;04:34:37;04:34:37;;00:00:00;00:02:22;;00:00:00;00:00:04;00:03:06;00:00:00;00:00:00;;00:00:03;00:05:37
135;04:34:37;04:34:37;04:34:37;04:34:37;04:37:03;04:37:03;;;04:37:04;04:37:04;04:37:08;04:37:08;04:40:17;04:40:17;04:40:17;04:40:17;04:40:17;04:40:17;;;04:40:20;04:40:20;;00:00:00;00:02:25;;00:00:00;00:00:04;00:03:08;00:00:00;00:00:00;;00:00:03;00:05:43
136;04:40:20;04:40:20;04:40:21;04:40:21;04:42:47;04:42:47;;;04:42:47;04:42:47;04:42:52;04:42:52;04:45:57;04:45:57;04:45:57;04:45:57;04:45:57;04:45:57;;;04:46:01;04:46:01;;00:00:00;00:02:25;;00:00:00;00:00:04;00:03:05;00:00:00;00:00:00;;00:00:03;00:05:40
137;04:46:01;04:46:01;04:46:01;04:46:01;04:48:30;04:48:30;;;04:48:31;04:48:31;04:48:35;04:48:35;04:51:39;04:51:39;04:51:39;04:51:39;04:51:39;04:51:39;;;04:51:42;04:51:42;;00:00:00;00:02:29;;00:00:00;00:00:04;00:03:03;00:00:00;00:00:00;;00:00:03;00:05:41
138;04:51:42;04:51:42;04:51:42;04:51:42;04:54:13;04:54:13;;;04:54:14;04:54:14;04:54:19;04:54:19;04:57:24;04:57:24;04:57:24;04:57:24;04:57:24;04:57:24;;;04:57:27;04:57:27;;00:00:00;00:02:31;;00:00:00;00:00:04;00:03:05;00:00:00;00:00:00;;00:00:03;00:05:45
139;04:57:27;04:57:27;04:57:28;04:57:28;04:59:57;04:59:57;;;04:59:58;04:59:58;05:00:03;05:00:03;05:03:09;05:03:09;05:03:09;05:03:09;05:03:09;05:03:09;;;05:03:13;05:03:13;;00:00:00;00:02:29;;00:00:00;00:00:04;00:03:06;00:00:00;00:00:00;;00:00:03;00:05:45
140;05:03:13;05:03:13;05:03:13;05:03:13;05:05:31;05:05:31;05:05:31;05:06:49;05:06:49;05:06:49;05:06:54;05:06:54;05:12:17;05:12:17;05:12:17;05:12:17;05:12:18;05:12:18;05:12:18;05:12:18;05:12:21;05:12:21;;00:00:00;00:02:18;00:01:17;00:01:17;00:00:04;00:05:23;00:00:00;00:00:00;00:00:00;00:00:03;00:09:08
141;05:12:21;05:12:21;05:12:21;05:12:21;05:14:44;05:14:44;;;05:14:44;05:14:44;05:14:49;05:14:49;05:17:54;05:17:54;05:17:54;05:17:54;05:17:55;05:17:55;;;05:17:58;05:17:58;;00:00:00;00:02:22;;00:00:00;00:00:04;00:03:05;00:00:00;00:00:00;;00:00:03;00:05:36
142;05:17:58;05:17:58;05:17:58;05:17:58;05:20:30;05:20:30;;;05:20:30;05:20:30;05:20:35;05:20:35;05:23:36;05:23:36;05:23:36;05:23:36;05:23:36;05:23:36;;;05:23:39;05:23:39;;00:00:00;00:02:31;;00:00:00;00:00:04;00:03:01;00:00:00;00:00:00;;00:00:03;00:05:41
143;05:23:39;05:23:39;05:23:40;05:23:40;05:26:11;05:26:11;;;05:26:12;05:26:12;05:26:16;05:26:16;05:29:23;05:29:23;05:29:23;05:29:23;05:29:24;05:29:24;;;05:29:27;05:29:27;;00:00:00;00:02:31;;00:00:00;00:00:04;00:03:06;00:00:00;00:00:00;;00:00:03;00:05:47
144;05:29:27;05:29:27;05:29:27;05:29:27;05:31:40;05:31:40;;;05:31:41;05:31:41;05:31:45;05:31:45;05:34:45;05:34:45;05:34:45;05:34:45;05:34:46;05:34:46;;;05:34:49;05:34:49;;00:00:00;00:02:13;;00:00:00;00:00:04;00:03:00;00:00:00;00:00:00;;00:00:03;00:05:21
145;05:34:49;05:34:49;05:34:49;05:34:49;05:37:06;05:37:06;;;05:37:07;05:37:07;05:37:11;05:37:11;05:40:16;05:40:16;05:40:16;05:40:16;05:40:16;05:40:16;;;05:40:19;05:40:19;;00:00:00;00:02:17;;00:00:00;00:00:04;00:03:04;00:00:00;00:00:00;;00:00:03;00:05:30
146;05:40:19;05:40:19;05:40:20;05:40:20;05:42:42;05:42:42;;;05:42:43;05:42:43;05:42:48;05:42:48;05:45:50;05:45:50;05:45:50;05:45:50;05:45:51;05:45:51;;;05:45:54;05:45:54;;00:00:00;00:02:22;;00:00:00;00:00:04;00:03:02;00:00:00;00:00:00;;00:00:03;00:05:34
147;05:45:54;05:45:54;05:45:54;05:45:54;05:48:09;05:48:09;;;05:48:10;05:48:10;05:48:14;05:48:14;05:51:14;05:51:14;05:51:14;05:51:14;05:51:15;05:51:15;;;05:51:18;05:51:18;;00:00:00;00:02:14;;00:00:00;00:00:04;00:02:59;00:00:00;00:00:00;;00:00:03;00:05:23
148;05:51:18;05:51:18;05:51:18;05:51:18;05:53:41;05:53:41;;;05:53:41;05:53:41;05:53:46;05:53:46;05:56:47;05:56:47;05:56:47;05:56:47;05:56:47;05:56:47;;;05:56:51;05:56:51;;00:00:00;00:02:22;;00:00:00;00:00:04;00:03:01;00:00:00;00:00:00;;00:00:03;00:05:32
149;05:56:51;05:56:51;05:56:51;05:56:51;05:59:24;05:59:24;;;05:59:25;05:59:25;05:59:30;05:59:30;06:02:39;06:02:39;06:02:39;06:02:39;06:02:40;06:02:40;;;06:02:43;06:02:43;;00:00:00;00:02:33;;00:00:00;00:00:04;00:03:09;00:00:00;00:00:00;;00:00:03;00:05:52
150;06:02:43;06:02:43;06:02:44;06:02:44;06:05:16;06:05:16;06:05:16;06:06:32;06:06:33;06:06:33;06:06:37;06:06:37;06:12:03;06:12:03;06:12:03;06:12:03;06:12:03;06:12:03;06:12:04;06:12:04;06:12:34;06:12:34;;00:00:00;00:02:31;00:01:16;00:01:17;00:00:04;00:05:25;00:00:00;00:00:00;00:00:00;00:00:30;00:09:51
151;06:12:34;06:12:34;06:12:35;06:12:35;06:14:56;06:14:56;;;06:14:56;06:14:56;06:15:01;06:15:01;06:18:05;06:18:05;06:18:05;06:18:05;06:18:06;06:18:06;;;06:18:09;06:18:09;;00:00:00;00:02:20;;00:00:00;00:00:04;00:03:04;00:00:00;00:00:00;;00:00:03;00:05:34
