iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
16;16:47:46;16:47:46;16:47:47;16:47:47;16:50:16;16:50:16;;;16:50:17;16:50:17;16:50:20;16:50:20;16:53:07;16:53:07;16:53:07;16:53:07;16:53:07;16:53:07;;;16:53:10;16:53:10;;00:00:00;00:02:29;;00:00:00;00:00:03;00:02:46;00:00:00;00:00:00;;00:00:03;00:05:24
17;16:53:11;16:53:11;16:53:11;16:53:11;16:55:34;16:55:34;;;16:55:34;16:55:34;16:55:38;16:55:38;16:58:19;16:58:19;16:58:19;16:58:19;16:58:19;16:58:19;;;16:58:22;16:58:22;;00:00:00;00:02:22;;00:00:00;00:00:03;00:02:40;00:00:00;00:00:00;;00:00:03;00:05:11
18;16:58:22;16:58:22;16:58:22;16:58:22;17:00:51;17:00:51;;;17:00:51;17:00:51;17:00:55;17:00:55;17:03:38;17:03:38;17:03:38;17:03:38;17:03:39;17:03:39;;;17:03:42;17:03:42;;00:00:00;00:02:28;;00:00:00;00:00:03;00:02:43;00:00:00;00:00:00;;00:00:03;00:05:19
19;17:03:42;17:03:42;17:03:42;17:03:42;17:06:05;17:06:05;;;17:06:06;17:06:06;17:06:09;17:06:09;17:09:01;17:09:01;17:09:01;17:09:01;17:09:01;17:09:01;;;17:09:04;17:09:04;;00:00:00;00:02:22;;00:00:00;00:00:03;00:02:51;00:00:00;00:00:00;;00:00:03;00:05:21
20;17:09:04;17:09:04;17:09:04;17:09:04;17:11:26;17:11:26;17:11:26;17:12:34;17:12:34;17:12:34;17:12:38;17:12:38;17:17:45;17:17:45;17:17:45;17:17:45;17:17:45;17:17:45;17:17:45;17:17:45;17:17:48;17:17:48;;00:00:00;00:02:21;00:01:07;00:01:08;00:00:03;00:05:06;00:00:00;00:00:00;00:00:00;00:00:03;00:08:44
21;17:17:48;17:17:48;17:17:49;17:17:49;17:20:18;17:20:18;;;17:20:19;17:20:19;17:20:23;17:20:23;17:23:16;17:23:16;17:23:16;17:23:16;17:23:17;17:23:17;;;17:23:20;17:23:20;;00:00:00;00:02:29;;00:00:00;00:00:04;00:02:53;00:00:00;00:00:00;;00:00:03;00:05:31
22;17:23:20;17:23:20;17:23:20;17:23:20;17:25:52;17:25:52;;;17:25:53;17:25:53;17:25:57;17:25:57;17:28:45;17:28:45;17:28:45;17:28:45;17:28:46;17:28:46;;;17:28:49;17:28:49;;00:00:00;00:02:32;;00:00:00;00:00:04;00:02:48;00:00:00;00:00:00;;00:00:03;00:05:29
23;17:28:49;17:28:49;17:28:49;17:28:49;17:31:19;17:31:19;;;17:31:20;17:31:20;17:31:24;17:31:24;17:34:13;17:34:13;17:34:13;17:34:13;17:34:13;17:34:13;;;17:34:16;17:34:16;;00:00:00;00:02:29;;00:00:00;00:00:04;00:02:49;00:00:00;00:00:00;;00:00:03;00:05:27
24;17:34:16;17:34:16;17:34:17;17:34:17;17:36:50;17:36:50;;;17:36:50;17:36:50;17:36:54;17:36:54;17:39:43;17:39:43;17:39:43;17:39:43;17:39:44;17:39:44;;;17:39:47;17:39:47;;00:00:00;00:02:33;;00:00:00;00:00:04;00:02:48;00:00:00;00:00:00;;00:00:03;00:05:30
25;17:39:47;17:39:47;17:39:47;17:39:47;17:42:22;17:42:22;;;17:42:23;17:42:23;17:42:27;17:42:27;17:45:19;17:45:19;17:45:19;17:45:19;17:45:20;17:45:20;;;17:45:23;17:45:23;;00:00:00;00:02:35;;00:00:00;00:00:04;00:02:51;00:00:00;00:00:00;;00:00:03;00:05:36
26;17:45:23;17:45:23;17:45:23;17:45:23;17:47:50;17:47:50;;;17:47:51;17:47:51;17:47:55;17:47:55;17:50:46;17:50:46;17:50:46;17:50:46;17:50:47;17:50:47;;;17:50:50;17:50:50;;00:00:00;00:02:26;;00:00:00;00:00:04;00:02:51;00:00:00;00:00:00;;00:00:03;00:05:27
27;17:50:50;17:50:50;17:50:50;17:50:50;17:53:09;17:53:09;;;17:53:10;17:53:10;17:53:14;17:53:14;17:56:07;17:56:07;17:56:07;17:56:07;17:56:07;17:56:07;;;17:56:10;17:56:10;;00:00:00;00:02:19;;00:00:00;00:00:04;00:02:52;00:00:00;00:00:00;;00:00:02;00:05:20
28;17:56:10;17:56:10;17:56:11;17:56:11;17:58:46;17:58:46;;;17:58:46;17:58:46;17:58:51;17:58:51;18:01:44;18:01:44;18:01:44;18:01:44;18:01:44;18:01:44;;;18:01:47;18:01:47;;00:00:00;00:02:35;;00:00:00;00:00:04;00:02:53;00:00:00;00:00:00;;00:00:03;00:05:37
29;18:01:47;18:01:47;18:01:48;18:01:48;18:04:12;18:04:12;;;18:04:13;18:04:13;18:04:17;18:04:17;18:07:09;18:07:09;18:07:09;18:07:09;18:07:10;18:07:10;;;18:07:13;18:07:13;;00:00:00;00:02:24;;00:00:00;00:00:04;00:02:52;00:00:00;00:00:00;;00:00:03;00:05:25
30;18:07:13;18:07:13;18:07:13;18:07:13;18:09:30;18:09:30;18:09:31;18:10:46;18:10:47;18:10:47;18:10:51;18:10:51;18:15:58;18:15:58;18:15:58;18:15:58;18:15:58;18:15:58;18:15:58;18:15:58;18:16:01;18:16:01;;00:00:00;00:02:17;00:01:15;00:01:16;00:00:04;00:05:06;00:00:00;00:00:00;00:00:00;00:00:03;00:08:48
31;18:16:01;18:16:01;18:16:02;18:16:02;18:18:25;18:18:25;;;18:18:26;18:18:26;18:18:30;18:18:30;18:21:21;18:21:21;18:21:21;18:21:21;18:21:22;18:21:22;;;18:21:25;18:21:25;;00:00:00;00:02:23;;00:00:00;00:00:04;00:02:51;00:00:00;00:00:00;;00:00:03;00:05:23
32;18:21:25;18:21:25;18:21:25;18:21:25;18:23:53;18:23:53;;;18:23:54;18:23:54;18:23:58;18:23:58;18:26:52;18:26:52;18:26:52;18:26:52;18:26:53;18:26:53;;;18:26:56;18:26:56;;00:00:00;00:02:28;;00:00:00;00:00:04;00:02:53;00:00:00;00:00:00;;00:00:03;00:05:30
33;18:26:56;18:26:56;18:26:56;18:26:56;18:29:20;18:29:20;;;18:29:21;18:29:21;18:29:25;18:29:25;18:32:15;18:32:15;18:32:15;18:32:15;18:32:15;18:32:15;;;18:32:19;18:32:19;;00:00:00;00:02:24;;00:00:00;00:00:04;00:02:49;00:00:00;00:00:00;;00:00:03;00:05:22
34;18:32:19;18:32:19;18:32:19;18:32:19;18:34:40;18:34:40;;;18:34:41;18:34:41;18:34:45;18:34:45;18:37:35;18:37:35;18:37:35;18:37:35;18:37:36;18:37:36;;;18:37:39;18:37:39;;00:00:00;00:02:21;;00:00:00;00:00:04;00:02:50;00:00:00;00:00:00;;00:00:03;00:05:20
35;18:37:39;18:37:39;18:37:39;18:37:39;18:40:07;18:40:07;;;18:40:07;18:40:07;18:40:12;18:40:12;18:43:01;18:43:01;18:43:01;18:43:01;18:43:02;18:43:02;;;18:43:05;18:43:05;;00:00:00;00:02:27;;00:00:00;00:00:04;00:02:49;00:00:00;00:00:00;;00:00:03;00:05:26
36;18:43:05;18:43:05;18:43:05;18:43:05;18:45:32;18:45:32;;;18:45:33;18:45:33;18:45:37;18:45:37;18:48:35;18:48:35;18:48:35;18:48:35;18:48:35;18:48:35;;;18:48:38;18:48:38;;00:00:00;00:02:27;;00:00:00;00:00:04;00:02:57;00:00:00;00:00:00;;00:00:03;00:05:33
37;18:48:38;18:48:38;18:48:39;18:48:39;18:51:06;18:51:06;;;18:51:07;18:51:07;18:51:11;18:51:11;18:54:01;18:54:01;18:54:01;18:54:01;18:54:01;18:54:01;;;18:54:04;18:54:04;;00:00:00;00:02:27;;00:00:00;00:00:04;00:02:49;00:00:00;00:00:00;;00:00:03;00:05:25
38;18:54:04;18:54:04;18:54:05;18:54:05;18:56:36;18:56:36;;;18:56:37;18:56:37;18:56:42;18:56:42;18:59:32;18:59:32;18:59:32;18:59:32;18:59:32;18:59:32;;;18:59:35;18:59:35;;00:00:00;00:02:31;;00:00:00;00:00:04;00:02:49;00:00:00;00:00:00;;00:00:03;00:05:31
39;18:59:35;18:59:35;18:59:36;18:59:36;19:02:10;19:02:10;;;19:02:10;19:02:10;19:02:15;19:02:15;19:05:08;19:05:08;19:05:08;19:05:08;19:05:08;19:05:08;;;19:05:12;19:05:12;;00:00:00;00:02:34;;00:00:00;00:00:04;00:02:52;00:00:00;00:00:00;;00:00:03;00:05:36
40;19:05:12;19:05:12;19:05:12;19:05:12;19:07:29;19:07:29;19:07:29;19:08:46;19:08:47;19:08:47;19:08:51;19:08:51;19:14:03;19:14:03;19:14:03;19:14:03;19:14:04;19:14:04;19:14:04;19:14:04;19:14:07;19:14:07;;00:00:00;00:02:17;00:01:16;00:01:17;00:00:04;00:05:12;00:00:00;00:00:00;00:00:00;00:00:03;00:08:55
41;19:14:07;19:14:07;19:14:07;19:14:07;19:16:39;19:16:39;;;19:16:40;19:16:40;19:16:45;19:16:45;19:19:38;19:19:38;19:19:38;19:19:38;19:19:38;19:19:38;;;19:19:42;19:19:42;;00:00:00;00:02:32;;00:00:00;00:00:04;00:02:53;00:00:00;00:00:00;;00:00:03;00:05:34
42;19:19:42;19:19:42;19:19:42;19:19:42;19:22:09;19:22:09;;;19:22:10;19:22:10;19:22:14;19:22:14;19:25:02;19:25:02;19:25:03;19:25:03;19:25:03;19:25:03;;;19:25:06;19:25:06;;00:00:00;00:02:27;;00:00:00;00:00:04;00:02:48;00:00:00;00:00:00;;00:00:03;00:05:24
