Iteration;bike_travel;bike_wait;car_travel;car_wait;car_passenger_travel;car_passenger_wait;pt_travel;pt_wait;stageActivity_travel;stageActivity_wait;walk_travel;walk_wait
97;33790;0;694897;0;19325;0;71361;14510;0;0;86771;0
98;33806;0;644417;0;19276;0;73039;14602;0;0;86550;0
99;33767;0;621507;0;19284;0;76993;14682;0;0;86249;0
100;33687;0;692789;0;19267;0;78632;14478;0;0;86129;0
101;33755;0;648401;0;19139;0;74518;14332;0;0;86149;0
102;33760;0;616175;0;19223;0;76629;14794;0;0;86180;0
103;33835;0;660618;0;19232;0;66603;14853;0;0;86994;0
104;33751;0;604162;0;19052;0;72576;14709;0;0;86181;0
105;33820;0;648344;0;19154;0;67343;14788;0;0;86719;0
106;33771;0;650641;0;19309;0;68248;14585;0;0;87034;0
107;33734;0;624817;0;19483;0;73540;14563;0;0;86517;0
108;33724;0;643272;0;19155;0;80460;14384;0;0;86344;0
109;33804;0;629150;0;19318;0;68100;14590;0;0;86720;0
110;33792;0;631829;0;19265;0;70030;14785;0;0;86659;0
111;33744;0;646936;0;19241;0;73521;14654;0;0;86554;0
112;33753;0;665424;0;19200;0;68407;14520;0;0;86627;0
113;33750;0;612806;0;19157;0;74955;14957;0;0;86188;0
114;33797;0;633953;0;19288;0;66141;14842;0;0;86782;0
115;33738;0;624407;0;19222;0;74888;14670;0;0;86582;0
116;33754;0;640870;0;19250;0;78606;14597;0;0;86235;0
117;33684;0;606395;0;19055;0;77770;14668;0;0;86065;0
118;33806;0;657542;0;19134;0;69471;14656;0;0;86824;0
119;33791;0;633371;0;19443;0;72309;14897;0;0;86463;0
120;33787;0;660560;0;19222;0;75215;14597;0;0;86424;0
121;33772;0;685466;0;19300;0;72681;14594;0;0;86502;0
122;33739;0;662813;0;19101;0;68827;14624;0;0;86674;0
123;33743;0;659451;0;19279;0;77121;14700;0;0;86343;0
124;33762;0;632208;0;18862;0;74197;14541;0;0;86415;0
125;33717;0;640315;0;19066;0;75967;14559;0;0;86541;0
126;33807;0;662675;0;19148;0;73132;14580;0;0;86532;0
127;33752;0;638813;0;18999;0;72912;14648;0;0;85985;0
128;33782;0;647129;0;19058;0;70849;14685;0;0;86501;0
129;33816;0;662436;0;19230;0;68022;14999;0;0;86810;0
130;33768;0;626572;0;19277;0;74201;14814;0;0;86614;0
131;33712;0;650095;0;19341;0;73901;14359;0;0;86282;0
132;33733;0;609673;0;19246;0;78352;14622;0;0;86323;0
133;33761;0;679894;0;19222;0;75597;14611;0;0;86441;0
134;33780;0;638633;0;19049;0;75308;14693;0;0;86365;0
135;33800;0;594180;0;19152;0;75399;14592;0;0;86302;0
136;33791;0;625898;0;19225;0;67118;14918;0;0;86780;0
137;33705;0;608707;0;19137;0;72716;14321;0;0;86136;0
138;33713;0;625747;0;19194;0;81742;14257;0;0;86029;0
139;33760;0;621799;0;19234;0;72191;14640;0;0;86469;0
140;33812;0;674376;0;19073;0;65303;14474;0;0;86907;0
141;33761;0;693318;0;19185;0;71266;14727;0;0;86561;0
142;33814;0;617098;0;19141;0;71329;14563;0;0;86588;0
143;33785;0;652359;0;19189;0;70213;14452;0;0;86591;0
144;33660;0;622726;0;19027;0;81477;14670;0;0;85706;0
145;33749;0;640570;0;18841;0;72327;14724;0;0;86357;0
146;33753;0;661252;0;18904;0;77616;14294;0;0;85988;0
147;33789;0;662655;0;18897;0;67566;14255;0;0;86326;0
148;33743;0;645781;0;19139;0;77047;14558;0;0;86542;0
