ITERATION;avg. Average Leg distance;avg. Average Trip distance
170;3222.585184300564;8703.865340570886
171;3219.3303607216076;8697.331372648152
172;3195.6451619849045;8636.476691549147
173;3210.427585047793;8674.972265846614
174;3217.30711680632;8692.14116036067
175;3230.9091269788782;8716.225204976006
176;3228.6094837573287;8718.159009971096
177;3222.0147781364212;8704.491878328874
178;3237.921051943283;8742.246271908889
179;3239.997720983219;8750.492082588775
180;3220.964702273507;8701.32647949671
181;3240.5961093121127;8748.503224470436
182;3240.785207275592;8749.820438062432
183;3239.670552374672;8746.934777496414
184;3238.9459700287894;8745.442458060965
185;3231.644891918694;8727.821080607819
186;3238.950999522907;8745.07638187425
187;3239.0699581042804;8744.821879967249
188;3238.436148971909;8743.226366899149
189;3231.579464569447;8726.062608403548
190;3227.195545214456;8715.384699398424
191;3229.580329008938;8720.472080116908
192;3229.261990134576;8719.483274272547
193;3233.5745785257977;8729.965718928868
194;3231.94119447267;8726.209165366701
195;3231.594634633315;8724.975541182417
196;3233.210127533311;8729.197096191463
197;3233.797324185453;8730.971521456284
198;3233.909583249275;8731.173138710416
199;3235.9853062534485;8736.413871476985
200;3234.1660316604434;8731.749668596813
