iteration;bike;car;car_passenger;pt;walk
0;0.03025928830756116;0.654591841405766;0.06304035351670385;0.08075179265887246;0.17135672411109654
1;0.03025928830756116;0.654591841405766;0.06304035351670385;0.08049646147601769;0.1716120552939513
2;0.03025928830756116;0.654591841405766;0.06304035351670385;0.08027266522012905;0.17183585154983994
3;0.03025928830756116;0.654591841405766;0.06304035351670385;0.08010074900537822;0.17200776776459076
4;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07997766106463948;0.17213085570532952
5;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07984846958964922;0.17226004718031976
6;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07976505462154528;0.17234346214842372
7;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07970707104615594;0.17240144572381305
8;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07965824277214388;0.17245027399782512
9;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07961043175384039;0.1724980850161286
10;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07955549994557681;0.17255301682439217
11;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07952498227431928;0.1725835344956497
12;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07948836106881023;0.17262015570115877
13;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07949344734735315;0.17261506942261584
14;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07947513674459862;0.17263338002537035
15;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07947005046605571;0.17263846630391327
16;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07945072260759259;0.1726577941623764
17;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07943342926054665;0.17267508750942234
18;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07942630847058656;0.1726822082993824
19;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07942122219204363;0.17268729457792534
20;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07939477354362043;0.17271374322634855
21;0.03025928830756116;0.654591841405766;0.06304035351670385;0.079383583730826;0.172724933039143
22;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07938765275366035;0.17272086401630865
23;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07938663549795176;0.17272188127201724
24;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07937442842944874;0.17273408834052026
25;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07938053196370025;0.17272798480626875
26;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07937239391803157;0.1727361228519374
27;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07936527312807147;0.1727432436418975
28;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07936629038378006;0.1727422263861889
29;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07938256647511742;0.17272595029485158
30;0.03025928830756116;0.654591841405766;0.06304035351670385;0.079383583730826;0.172724933039143
31;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07936323861665431;0.17274527815331467
32;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07936629038378006;0.1727422263861889
33;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07936527312807147;0.1727432436418975
34;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07936934215090581;0.17273917461906316
35;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07936629038378006;0.1727422263861889
36;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07936323861665431;0.17274527815331467
37;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07936934215090581;0.17273917461906316
38;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07937341117374015;0.17273510559622882
39;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07938867000936893;0.17271984676060007
40;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07937646294086591;0.1727320538291031
41;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07936120410523714;0.17274731266473184
42;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07935916959381997;0.172749347176149
43;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07936934215090581;0.17273917461906316
44;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07935916959381997;0.172749347176149
45;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07936120410523714;0.17274731266473184
46;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07935916959381997;0.172749347176149
47;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07934797978102553;0.17276053698894345
48;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07934696252531695;0.17276155424465203
49;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07936120410523714;0.17274731266473184
50;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07934085899106544;0.17276765777890354
51;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07934289350248261;0.17276562326748637
52;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07935611782669422;0.17275239894327477
53;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07934797978102553;0.17276053698894345
54;0.03025928830756116;0.654591841405766;0.06304035351670385;0.0793500142924427;0.17275850247752628
55;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07934594526960836;0.17276257150036062
56;0.03025928830756116;0.654591841405766;0.06304035351670385;0.0793367899682311;0.17277172680173788
57;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07934797978102553;0.17276053698894345
58;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07933475545681394;0.17277376131315506
59;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07933780722393968;0.1727707095460293
60;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07933984173535685;0.17276867503461213
61;0.03025928830756116;0.654591841405766;0.06304035351670385;0.0793367899682311;0.17277172680173788
62;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07934492801389978;0.1727635887560692
63;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07933882447964827;0.17276969229032071
64;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07933984173535685;0.17276867503461213
65;0.03025928830756116;0.654591841405766;0.06304035351670385;0.0793367899682311;0.17277172680173788
66;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932763466685384;0.17278088210311515
67;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07934594526960836;0.17276257150036062
68;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07934594526960836;0.17276257150036062
69;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07934696252531695;0.17276155424465203
70;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07934492801389978;0.1727635887560692
71;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07934797978102553;0.17276053698894345
72;0.03025928830756116;0.654591841405766;0.06304035351670385;0.0793439107581912;0.1727646060117778
73;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07933577271252253;0.17277274405744647
74;0.03025928830756116;0.654591841405766;0.06304035351670385;0.0793306864339796;0.1727778303359894
75;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932661741114526;0.17278189935882374
76;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932560015543667;0.17278291661453232
77;0.03025928830756116;0.654591841405766;0.06304035351670385;0.0793164448540594;0.17279207191590956
78;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932254838831092;0.17278596838165808
79;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932661741114526;0.17278189935882374
80;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07933475545681394;0.17277376131315506
81;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07931542759835082;0.17279308917161815
82;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932254838831092;0.17278596838165808
83;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07931746210976799;0.17279105466020098
84;0.03025928830756116;0.654591841405766;0.06304035351670385;0.0793235656440195;0.1727849511259495
85;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932560015543667;0.17278291661453232
86;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07933373820110536;0.17277477856886364
87;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07933170368968818;0.1727768130802808
88;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07933577271252253;0.17277274405744647
89;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932254838831092;0.17278596838165808
90;0.03025928830756116;0.654591841405766;0.06304035351670385;0.0793306864339796;0.1727778303359894
91;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932661741114526;0.17278189935882374
92;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07931746210976799;0.17279105466020098
93;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932661741114526;0.17278189935882374
94;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932763466685384;0.17278088210311515
95;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07934085899106544;0.17276765777890354
96;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07933577271252253;0.17277274405744647
97;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07931746210976799;0.17279105466020098
98;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932661741114526;0.17278189935882374
99;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932661741114526;0.17278189935882374
100;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932865192256243;0.17277986484740657
101;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932458289972809;0.1727839338702409
102;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932966917827101;0.17277884759169798
103;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932865192256243;0.17277986484740657
104;0.03025928830756116;0.654591841405766;0.06304035351670385;0.0793306864339796;0.1727778303359894
105;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932153113260233;0.17278698563736666
106;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932153113260233;0.17278698563736666
107;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932254838831092;0.17278596838165808
108;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07931847936547658;0.1727900374044924
109;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07931542759835082;0.17279308917161815
110;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07931746210976799;0.17279105466020098
111;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07930627229697357;0.17280224447299541
112;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07930932406409932;0.17279919270586966
113;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07930728955268215;0.17280122721728683
114;0.03025928830756116;0.654591841405766;0.06304035351670385;0.0793164448540594;0.17279207191590956
115;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932153113260233;0.17278698563736666
116;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07931949662118516;0.1727890201487838
117;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07931949662118516;0.1727890201487838
118;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932966917827101;0.17277884759169798
119;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932254838831092;0.17278596838165808
120;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07931949662118516;0.1727890201487838
121;0.03025928830756116;0.654591841405766;0.06304035351670385;0.07932458289972809;0.1727839338702409
