iteration;avg_executed;avg_worst;avg_average;avg_best
142;-40.87346476864506;-74.72885926135564;-46.10864428633241;-21.66924674653793
143;-39.555801302901614;-74.18905050108465;-45.85037545178049;-21.29449511778945
144;-44.18080387048507;-77.0687744547715;-46.59811607944089;-21.416128916193266
145;-39.07110376766701;-75.2221777511359;-46.011975728864016;-20.933842264129407
146;-45.49939252507809;-78.52179563123993;-47.06338731704441;-21.51641689948066
147;-44.675931968575135;-79.75314104436157;-47.37164071592553;-21.309009557741213
148;-36.98151484953332;-76.22742026883003;-46.303073404695624;-21.153091707181282
149;-40.77112469044203;-76.64385843473966;-46.492666391509196;-21.360088759007937
150;-38.90991160487629;-75.14819860353252;-46.0619448083522;-21.446424581143976
151;-38.78156134368506;-74.60716217070008;-45.781512013331806;-21.182849504590358
152;-36.895732510255996;-73.00899352422361;-45.254615773981016;-21.092455828366422
153;-44.14648481819376;-75.84851702844271;-46.283828829541385;-21.783910708356164
154;-40.334246902446765;-75.16835622717745;-45.93715138001751;-21.461848514159993
155;-38.410330192664325;-74.37720573337484;-45.51384712679141;-21.020842216094795
156;-40.55520809090621;-74.69610435575707;-45.67669154222647;-21.155627581677514
157;-42.810413813653554;-76.08928635031344;-46.11548840817484;-21.248779897061016
158;-42.12471044791902;-76.53653917989072;-46.17075970086414;-21.275388394568548
159;-37.35654217584128;-73.85989532734395;-45.42363748343563;-21.14002832164672
160;-40.16256738069527;-74.32145990459635;-45.61970908952834;-21.248572648191242
161;-37.34575080210244;-72.75080957447373;-45.02700961672019;-21.10509120000867
162;-40.73241915505139;-73.96123922880399;-45.333373401698125;-21.172190222189194
163;-36.60652167835844;-71.9600081670111;-44.662820821685024;-21.02502925649802
164;-39.329999285179;-72.59475520838505;-44.87235006233581;-21.08415449247945
165;-40.53655676115797;-73.60752076757994;-45.04732188586586;-20.876838823080167
166;-38.25755991225394;-72.56533652404931;-44.72196828652808;-20.883343552291382
167;-38.732471875865585;-72.2696995867233;-44.635725993054294;-20.961676347509833
168;-38.69880906499681;-71.65308628244485;-44.57124943657167;-21.197630324862267
169;-36.959204450633884;-71.03362806253709;-44.1689476099605;-20.93093918083741
170;-40.48676477268406;-72.39004638604739;-44.57580386899081;-21.187270830741017
171;-39.44756580407158;-72.20651237680521;-44.47231148251196;-20.889962124928683
172;-45.52893286454981;-75.98748468361896;-45.65176478311321;-21.494336980411095
173;-40.35154422556274;-74.74497227037321;-45.232066924260224;-20.96203303320904
174;-39.57973191603329;-74.68088488380575;-45.06494233928174;-20.671481850217738
175;-40.45004486713892;-74.43836749160141;-45.234653197977075;-21.243563024407123
176;-38.74156062952554;-73.5649889340186;-44.98024678280678;-21.139275049263613
177;-40.42562629332518;-74.57267751890993;-45.12064497486634;-20.896976735331396
178;-38.44623414987803;-73.13847247976452;-44.80014460613217;-20.960114656101695
179;-37.626476953059345;-72.09088640590973;-44.516999713092815;-21.03968531635472
180;-42.29126373400499;-74.22259018175467;-45.09919656332457;-21.101952465955563
181;-34.55138427196434;-69.9326369059218;-44.37487514395681;-21.48799444149795
182;-33.01442238863557;-70.39351646539656;-45.104850601549586;-22.197839953567644
183;-31.128477919586278;-70.72561967560833;-45.49693474666602;-22.568028541818293
184;-29.921292643736972;-71.08474465258885;-45.836366974042456;-22.81913508971402
185;-30.431747367409336;-72.08306313758663;-46.4233188858326;-23.2850178353299
186;-27.854976967456807;-72.07360945599996;-46.452794580182726;-23.11621207640363
187;-27.55020077526438;-72.22336433715876;-46.63750810455002;-23.300452240744633
188;-27.212852818139872;-72.31765334479677;-46.84163286424898;-23.661940737722894
189;-28.175838766191358;-72.94279013342442;-47.228803023030714;-23.779902985231395
190;-28.92828594767306;-73.81616575517141;-47.70489816931478;-23.985919010838337
191;-28.034513276628346;-74.17074120465196;-47.90106160099414;-23.9735521381154
192;-28.05244388603051;-74.5518943407365;-48.16552027689673;-24.08736290431667
193;-27.158760955859517;-74.60322891752534;-48.25203018279708;-24.152534872172463
194;-27.345863469272757;-74.88081439464766;-48.46122461199317;-24.262983425651587
195;-27.14329953319155;-75.11748890633197;-48.59174893050225;-24.248207440230665
196;-26.774434453769953;-75.18671286465815;-48.68379149041813;-24.32127683244658
197;-26.802937401804492;-75.30355970336558;-48.80724899002031;-24.41786822837973
198;-26.615665502175;-75.37517560447198;-48.909233038931156;-24.502970661070695
199;-26.5606931267522;-75.46292062672302;-48.992572307493084;-24.479871345077765
200;-26.575579612867266;-75.5464651286408;-49.0917230885572;-24.54411871294313
