Iteration	bike	car	car_passenger	pt	walk
0	0.0	0.0	0.0	0.0	0.0
1	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0	0.0
6	0.0	0.0	0.0	0.0	0.0
7	0.0	0.0	0.0	0.0	0.0
8	0.0	0.0	0.0	0.0	0.0
9	0.03025928830756116	0.654591841405766	0.06304035351670385	0.07952803404144503	0.17135672411109654
10	0.03025928830756116	0.654591841405766	0.06304035351670385	0.07954634464419956	0.17158052036698518
11	0.03025928830756116	0.654591841405766	0.06304035351670385	0.07956058622411974	0.17179414406578797
12	0.03025928830756116	0.654591841405766	0.06304035351670385	0.07957584505974852	0.1719589394905787
13	0.03025928830756116	0.654591841405766	0.06304035351670385	0.07958906938396011	0.1720789756641917
14	0.03025928830756116	0.654591841405766	0.06304035351670385	0.07959619017392021	0.1721969773263875
15	0.03025928830756116	0.654591841405766	0.06304035351670385	0.0796094144981318	0.17228039229449146
16	0.03025928830756116	0.654591841405766	0.06304035351670385	0.0796165352880919	0.17236787628542974
17	0.03025928830756116	0.654591841405766	0.06304035351670385	0.07962060431092624	0.17242687711652765
18	0.03025928830756116	0.654591841405766	0.06304035351670385	0.07962772510088634	0.17248079166908264
19	0.03025928830756116	0.654591841405766	0.06304035351670385	0.0796307768680121	0.1725306371988033
20	0.03025928830756116	0.654591841405766	0.06304035351670385	0.07963789765797218	0.17257336193856385
21	0.03025928830756116	0.654591841405766	0.06304035351670385	0.07964094942509793	0.1726038796098214
22	0.03025928830756116	0.654591841405766	0.06304035351670385	0.07964400119222369	0.17263948355962186
23	0.03025928830756116	0.654591841405766	0.06304035351670385	0.0796501047264752	0.1726638976966279
24	0.03025928830756116	0.654591841405766	0.06304035351670385	0.0796501047264752	0.1726781392765481
25	0.03025928830756116	0.654591841405766	0.06304035351670385	0.07965112198218378	0.1726893290893425
26	0.03025928830756116	0.654591841405766	0.06304035351670385	0.07965620826072671	0.17270662243638846
27	0.03025928830756116	0.654591841405766	0.06304035351670385	0.0796572255164353	0.17271577773776572
28	0.03025928830756116	0.654591841405766	0.06304035351670385	0.0796572255164353	0.17273001931768592
29	0.03025928830756116	0.654591841405766	0.06304035351670385	0.07966027728356105	0.17273510559622882
