hour,mean_rel_error,mean_abs_error,mean_bias
0,109.9447513812155,219.19672191528545,-219.19672191528545
1,131.49171270718227,134.09710865561695,-134.09710865561695
2,220.9944751381215,71.65027624309391,-71.65027624309391
3,372.1602060346965,32.37171270718232,-27.813480662983423
4,287.9286129636424,37.863130755064454,-31.177937384898712
5,143.07751310079664,73.41539594843462,-72.0185635359116
6,60.14485116210575,97.8299079189687,-18.883720073664822
7,48.11063973141068,245.2750276243094,94.43049723756906
8,38.88955275172618,288.4118600368324,-23.454990791896865
9,40.557484720361366,247.32710865561697,65.35977900552486
10,42.398024117339105,235.60346224677718,90.20423572744015
11,39.015901565099334,225.85534069981586,65.49685082872928
12,37.202606491944685,246.1559300184162,26.45147329650092
13,36.50843647100173,216.7150092081031,27.45165745856352
14,33.05857487827509,218.1194290976059,0.9052854511970585
15,33.54950336238924,218.54924493554327,-34.330644567219146
16,31.804762201239786,237.7060773480663,-76.19874769797423
17,36.00885825724081,292.31788213627993,-58.21453038674032
18,36.647123228873575,284.34141804788214,-46.261197053406995
19,36.698486794317695,255.01473296500924,-38.80099447513811
20,40.127469286766036,219.89460405156538,-37.46101289134439
21,56.96870223852739,171.14850828729283,53.13926335174954
22,74.94749552713844,169.05729281767955,97.67316758747697
23,76.34425949756917,175.189226519337,72.00322283609573
