dist,bike,car,car_passenger,pt,walk
0.0,0.0011170726733124496,0.10772822668814325,0.008496598405465537,0.0,0.8826581022330788
100.0,0.0012821766324117281,0.11762432614623476,0.00871868967746306,0.0,0.8723748075438904
200.0,0.001504197751199094,0.13079106574581723,0.009146857324053568,8.063814420357556E-5,0.8584772410347266
300.0,0.0018037393631122785,0.14810726917171485,0.009830576850920826,5.655686884328022E-4,0.8396928459258193
400.0,0.002214917704628137,0.17119106030470527,0.01085581396031307,0.001241882380490872,0.8144963256498625
500.0,0.002792564245814435,0.2029635979508057,0.01237902444152241,0.002202519461788462,0.779662293900069
600.0,0.0036068572236667338,0.24805202702255016,0.014738771036675558,0.0035547870896900837,0.7300475576274175
700.0,0.004618293813711239,0.302511143407648,0.020562497881021376,0.005573782813719712,0.6667342820838996
800.0,0.005801864488079288,0.3642373958418428,0.028795000161908467,0.008402493357064063,0.5927632461511053
900.0,0.00713898756747512,0.42360694940505317,0.0384404307345533,0.012145763464714025,0.5186678688282045
1000.0,0.008586611397685955,0.47277004742408607,0.04817417129304404,0.016546707613287522,0.4539224622718965
1100.0,0.010052668203273937,0.511909856861908,0.057216619914827634,0.021298569054506118,0.39952228596548434
1200.0,0.011398601849150317,0.5428317461424015,0.06504399409742066,0.026254373329777873,0.35447128458124966
1300.0,0.012696161568060582,0.5682615667119816,0.07143289000492142,0.0313817006433248,0.31622768107171156
1400.0,0.014104378437251392,0.5908608010727702,0.0762538401695774,0.036604753349196294,0.28217622697120476
1500.0,0.015667817364943416,0.6110160769521538,0.07946463278482303,0.041688756226831,0.25216271667124884
1600.0,0.01732677544823085,0.6284261637732034,0.08107204892515918,0.046332290405615414,0.2268427214477911
1700.0,0.018832240044633502,0.6447509767473962,0.08147714364231362,0.050441754137691974,0.20449788542796465
1800.0,0.019969227935549966,0.6623545105472116,0.08123843130238441,0.05410002528868448,0.18233780492616947
1900.0,0.02061184374126722,0.6819939427443482,0.08076651493174726,0.05744924667002402,0.1591784519126134
2000.0,0.0208241210765409,0.7035689144448501,0.08018591493652193,0.06046598944849005,0.1349550600935971
2100.0,0.020695662216749268,0.7263480984282078,0.07944231997515071,0.06299357142322187,0.11052034795667051
2200.0,0.02027046005706629,0.7490109256178248,0.07839505174929932,0.0649918028791408,0.08733175969666875
2300.0,0.01944910923562108,0.7698565322721338,0.07700579168673911,0.06654970950710537,0.06713885729840056
2400.0,0.018246347817257664,0.78660313314396,0.0751933093948348,0.06772506271291663,0.05223214693103096
2500.0,0.017060857163364196,0.7978063083612081,0.0730793993493462,0.06863010779518487,0.04342332733089684
2600.0,0.016519188863149778,0.8030716801886207,0.07074656729131582,0.06939668711640251,0.04026587654051114
2700.0,0.017276187806452174,0.8030792875773572,0.06838249662351083,0.07012937481261962,0.04113265318006009
2800.0,0.019441074964027884,0.7998435221667797,0.06613105146178391,0.07104060536590934,0.04354374604149909
2900.0,0.022493131616144302,0.7950851904757297,0.06411068739147847,0.07247020636133561,0.045840784155311905
3000.0,0.02588237481940704,0.7900366848556882,0.06245071739130421,0.07443388961763964,0.04719633331596091
3100.0,0.029137451465484677,0.7856743943626363,0.06136469321745908,0.07677064906357894,0.04705281189084089
3200.0,0.032069752799747886,0.7829767376899021,0.06077438988721384,0.07922429005867557,0.04495482956446067
3300.0,0.034433582043983356,0.7823387024929075,0.06052420950827608,0.08173609273651379,0.04096741321831928
3400.0,0.03583506323335101,0.7832757802238303,0.0605318663001345,0.0843803240303042,0.03597696621238001
3500.0,0.036027822941901724,0.7849347206842767,0.06071094021305486,0.08714201775020998,0.031184498410556826
3600.0,0.03527139904563154,0.7863058203200581,0.06087196236789156,0.08989851936718107,0.027652298899237687
3700.0,0.034472699634917954,0.7862802452813213,0.06102045993022578,0.09267077597806762,0.025555819175467297
3800.0,0.034659890325430674,0.7842498136673546,0.061128767466390954,0.09549155664961426,0.024469971891209537
3900.0,0.035698246719516984,0.7806401619493847,0.0612984874208819,0.09820415351850792,0.024158950391708515
4000.0,0.03678289359260969,0.7764171429196215,0.06174488752623768,0.10079502691282757,0.02426004904870368
4100.0,0.03789827351122141,0.7718570910522456,0.06247015168480845,0.10334917475155207,0.02442530900017257
4200.0,0.04006289672730096,0.7666210631108921,0.06335490788575691,0.10557807667249208,0.02438305560355798
4300.0,0.04299890439588479,0.7613000504632838,0.06428442104774217,0.10738091443948745,0.02403570965360174
4400.0,0.04586363162709011,0.756382255949944,0.06505026928906851,0.1089911037156367,0.02371273941826067
4500.0,0.047634202918540536,0.7523039726091972,0.06558106265538127,0.11062553743778991,0.023855224379090992
4600.0,0.047928238636960226,0.7494811726780978,0.06601648191568085,0.1121553339700527,0.024418772799208566
4700.0,0.047364433749420384,0.7478170851326401,0.06640413466711524,0.11348381160842314,0.024930534842401136
4800.0,0.04736590188018424,0.7464452426836826,0.06672548006117468,0.11454088172865494,0.024922493646303667
4900.0,0.04825029467078588,0.7448973401974015,0.06710030699528453,0.11543285305236382,0.024319205084164356
5000.0,0.049316954333184074,0.7436119906825651,0.06742433312282523,0.1163147441827178,0.023331977678707674
5100.0,0.04913363395019991,0.7437106710136295,0.06770427473048071,0.1173252372238743,0.022126183081815326
5200.0,0.04733049324482539,0.7456019884892128,0.0679873256635171,0.11852902293862573,0.02055116966381901
5300.0,0.04480431297304112,0.7486815146871689,0.06821616134447375,0.11967493932504458,0.018623071670271545
5400.0,0.04259410543973244,0.7520262047187998,0.0683855883627453,0.12038246852266078,0.016611632956061786
5500.0,0.04009947457589716,0.7555501315361733,0.06860357552600274,0.12082585232222304,0.014920966039703757
5600.0,0.03700968708246402,0.7588544078917324,0.06880765729178631,0.12148450189501774,0.013843745838999602
5700.0,0.0335287912915697,0.7616363269538268,0.06887191070323095,0.12249823718242224,0.013464733868950335
5800.0,0.03018289314972196,0.7638567050354695,0.06873698400486744,0.12369560006736789,0.013527817742573181
5900.0,0.027840546939015647,0.7652584789156135,0.06838895624413016,0.12476385747768055,0.0137481604235601
6000.0,0.027151563570478567,0.7653943232657079,0.06793378899319585,0.1255368368222281,0.01398348734838953
6100.0,0.027671876854173008,0.764478127722249,0.06757604580317757,0.12616523060613283,0.014108719014267525
6200.0,0.02887167471018614,0.7630820397195104,0.06727453758071597,0.1267669272774537,0.014004820712133804
6300.0,0.03030377582776404,0.7618242419510594,0.06693188082773036,0.12718708251773053,0.013753018875715615
