modes,count,share
pt-car,47,1.863652044267684E-4
bike-walk-walk-walk-bike-bike,47,1.863652044267684E-4
pt-walk-pt-car-car,47,1.863652044267684E-4
pt-walk-pt-walk,45,1.7843477019584207E-4
pt-pt-walk-pt-pt,42,1.665391188494526E-4
pt-pt-walk-pt-pt-pt,41,1.6257390173398946E-4
walk-pt-walk-pt,41,1.6257390173398946E-4
car-car-walk,41,1.6257390173398946E-4
bike-walk-walk-bike-bike,39,1.5464346750306313E-4
walk-walk-pt-car_passenger,39,1.5464346750306313E-4
pt-pt-pt-pt-pt-walk,39,1.5464346750306313E-4
pt-pt-pt-walk-walk-pt,39,1.5464346750306313E-4
car_passenger-car_passenger-pt-pt,38,1.506782503876E-4
bike-pt-pt-bike-bike,38,1.506782503876E-4
walk-pt-walk-walk-pt,38,1.506782503876E-4
car_passenger-walk-car_passenger,38,1.506782503876E-4
walk-walk-walk-pt-pt,38,1.506782503876E-4
pt-pt-pt-pt-walk,37,1.467130332721368E-4
car-car-bike-bike,37,1.467130332721368E-4
car-car-car-walk-car,35,1.387825990412105E-4
walk-walk-pt-pt-pt,33,1.308521648102842E-4
walk-walk-pt-pt-walk-walk,33,1.308521648102842E-4
pt-pt-walk-walk-walk,32,1.2688694769482102E-4
car_passenger-car_passenger-walk-walk,31,1.2292173057935787E-4
pt-pt-walk-pt-walk-walk,30,1.1895651346389471E-4
car_passenger-pt-walk-car_passenger,30,1.1895651346389471E-4
pt-pt-bike-bike-pt-pt,30,1.1895651346389471E-4
pt-pt-pt-walk-walk-walk,30,1.1895651346389471E-4
pt-pt-pt-pt-bike-bike,29,1.1499129634843156E-4
bike-bike-walk-car_passenger,29,1.1499129634843156E-4
pt-walk-walk-walk-walk-walk,28,1.110260792329684E-4
walk-pt-pt-pt-walk-walk,27,1.0706086211750524E-4
pt-walk-walk-walk-pt-pt,26,1.0309564500204208E-4
pt-walk-walk-walk-pt,26,1.0309564500204208E-4
pt-bike,26,1.0309564500204208E-4
walk-walk-walk-walk-pt-walk,25,9.913042788657893E-5
bike-bike-bike-walk-walk,25,9.913042788657893E-5
walk-walk-car,24,9.516521077111577E-5
car-car-walk-walk-car,24,9.516521077111577E-5
car-pt-pt-car-car,24,9.516521077111577E-5
walk-walk-walk-walk-walk-pt,24,9.516521077111577E-5
walk-walk-pt-walk-walk-walk,24,9.516521077111577E-5
bike-bike-pt-walk,23,9.119999365565261E-5
car-walk-walk-walk-walk-car,23,9.119999365565261E-5
walk-walk-walk-walk-pt,23,9.119999365565261E-5
pt-walk-walk-walk-walk,23,9.119999365565261E-5
pt-walk-pt-walk-walk,22,8.723477654018946E-5
car_passenger-walk-pt-car_passenger,21,8.32695594247263E-5
pt-walk-walk-pt-walk,21,8.32695594247263E-5
walk-pt-walk-pt-pt,21,8.32695594247263E-5
car-car-car-walk-pt,21,8.32695594247263E-5
car-walk-pt-car,21,8.32695594247263E-5
bike-pt-pt-bike,21,8.32695594247263E-5
bike-bike-bike-pt-pt,21,8.32695594247263E-5
walk-pt-walk-walk-walk-walk,20,7.930434230926314E-5
walk-pt-bike-bike,20,7.930434230926314E-5
pt-walk-walk-car-car,20,7.930434230926314E-5
pt-walk-pt-pt-walk-walk,20,7.930434230926314E-5
pt-walk-walk-pt-walk-walk,20,7.930434230926314E-5
pt-pt-walk-walk-walk-pt,20,7.930434230926314E-5
pt-bike-bike,20,7.930434230926314E-5
pt-pt-walk-walk-pt-pt,19,7.53391251938E-5
walk-walk-walk-pt-walk-walk,19,7.53391251938E-5
bike-bike-car_passenger-car_passenger,19,7.53391251938E-5
pt-walk-pt-bike-bike,19,7.53391251938E-5
pt-pt-walk-walk-car-car,19,7.53391251938E-5
pt-pt-walk-pt-pt-walk,19,7.53391251938E-5
pt-walk-pt-walk-pt,19,7.53391251938E-5
bike-bike-pt-pt-pt-pt,18,7.137390807833683E-5
walk-walk-pt-walk-pt,18,7.137390807833683E-5
walk-walk-walk-pt-walk,18,7.137390807833683E-5
pt-pt-car,18,7.137390807833683E-5
car-car-walk-car-car,17,6.740869096287367E-5
walk-walk-walk-walk-pt-pt,17,6.740869096287367E-5
walk-walk-walk-bike-bike,16,6.344347384741051E-5
bike-bike-walk-pt-bike,16,6.344347384741051E-5
walk-walk-pt-car-car,16,6.344347384741051E-5
bike-bike-bike-bike-pt-pt,15,5.9478256731947356E-5
bike-bike-bike-walk-walk-bike,15,5.9478256731947356E-5
walk-pt-walk-walk-walk,15,5.9478256731947356E-5
car-car-car-car-bike-bike,15,5.9478256731947356E-5
pt-pt-walk-walk-pt-walk,15,5.9478256731947356E-5
pt-walk-pt-walk-walk-walk,14,5.55130396164842E-5
pt-walk-pt-pt-walk,14,5.55130396164842E-5
pt-pt-walk-pt-walk-pt,14,5.55130396164842E-5
bike-bike-pt-car_passenger,14,5.55130396164842E-5
car-car-car-pt-walk,14,5.55130396164842E-5
walk-pt-pt-walk-walk-walk,14,5.55130396164842E-5
pt-walk-walk-pt-pt-pt,14,5.55130396164842E-5
pt-pt-pt-car-car,14,5.55130396164842E-5
car_passenger-car_passenger-bike-bike,14,5.55130396164842E-5
pt-walk-pt-pt-pt-pt,14,5.55130396164842E-5
bike-bike-walk-pt,13,5.154782250102104E-5
bike-bike-bike-walk-walk-walk,13,5.154782250102104E-5
walk-pt-walk-pt-walk-walk,13,5.154782250102104E-5
car-pt-walk,13,5.154782250102104E-5
walk-pt-pt-walk-pt,13,5.154782250102104E-5
walk-pt-pt-pt-walk,13,5.154782250102104E-5
pt-walk-pt-car_passenger,13,5.154782250102104E-5
bike-bike-pt-walk-bike,13,5.154782250102104E-5
bike-walk-walk-walk-walk-bike,13,5.154782250102104E-5
pt-walk-bike-bike,13,5.154782250102104E-5
car-pt-walk-car,13,5.154782250102104E-5
walk-pt-pt-pt-pt-pt,12,4.7582605385557886E-5
car-car-walk-walk-walk,12,4.7582605385557886E-5
pt-pt-walk-pt-walk,12,4.7582605385557886E-5
pt-pt-car-car-walk-walk,12,4.7582605385557886E-5
walk-pt-car_passenger-car_passenger,12,4.7582605385557886E-5
pt-pt-pt-pt-walk-pt,12,4.7582605385557886E-5
walk-walk-pt-pt-walk,12,4.7582605385557886E-5
walk-walk-pt-walk-walk,12,4.7582605385557886E-5
walk-walk-walk-pt-pt-pt,11,4.361738827009473E-5
car-car-car-car_passenger-car_passenger-car,11,4.361738827009473E-5
car-car-car-bike-bike,11,4.361738827009473E-5
car-car-car-pt-pt-walk,11,4.361738827009473E-5
walk-walk-pt-pt-car-car,11,4.361738827009473E-5
pt-pt-pt-walk-pt-pt,11,4.361738827009473E-5
walk-pt-walk-pt-walk,11,4.361738827009473E-5
walk-pt-pt-walk-walk,11,4.361738827009473E-5
pt-walk-walk-walk-pt-walk,10,3.965217115463157E-5
walk-pt-pt-pt-pt-walk,10,3.965217115463157E-5
bike-bike-bike-bike-bike-walk,10,3.965217115463157E-5
pt-walk-car_passenger-car_passenger,10,3.965217115463157E-5
